Step,Processed,AvgExact,AvgEst,StdDev,LowerBound,UpperBound
1,2000,2000.00,2001.12,27.14,1973.98,2028.27
2,4000,4000.00,4000.04,46.12,3953.92,4046.16
3,6000,6000.00,5981.40,83.77,5897.63,6065.17
4,8000,8000.00,7950.35,146.44,7803.92,8096.79
5,10000,10000.00,10136.47,263.15,9873.32,10399.62
6,12000,12000.00,12151.51,153.94,11997.56,12305.45
7,14000,14000.00,14079.97,154.36,13925.61,14234.34
8,16000,16000.00,16064.74,150.78,15913.96,16215.52
9,18000,18000.00,18031.66,207.62,17824.04,18239.28
10,20000,20000.00,20018.77,220.82,19797.95,20239.59
11,22000,22000.00,21959.88,354.17,21605.71,22314.05
12,24000,24000.00,23991.74,337.40,23654.34,24329.14
13,26000,26000.00,25960.95,314.30,25646.65,26275.26
14,28000,28000.00,27951.30,325.21,27626.09,28276.51
15,30000,30000.00,30060.36,347.95,29712.41,30408.30
16,32000,32000.00,32064.28,412.88,31651.40,32477.16
17,34000,34000.00,34009.11,417.91,33591.19,34427.02
18,36000,36000.00,36022.26,480.73,35541.53,36502.99
19,38000,38000.00,37991.86,520.85,37471.02,38512.71
20,40000,40000.00,39970.62,589.58,39381.05,40560.20
21,42000,42000.00,41992.92,654.09,41338.83,42647.00
22,44000,44000.00,43982.57,653.82,43328.75,44636.39
23,46000,46000.00,46014.25,713.11,45301.14,46727.37
24,48000,48000.00,48025.28,664.10,47361.18,48689.39
25,50000,50000.00,50032.23,664.01,49368.22,50696.24
26,52000,52000.00,52080.13,664.07,51416.06,52744.20
27,54000,54000.00,54055.57,709.09,53346.48,54764.66
28,56000,56000.00,55973.89,681.57,55292.31,56655.46
29,58000,58000.00,58037.98,650.32,57387.66,58688.30
30,60000,60000.00,60091.10,704.60,59386.51,60795.70
31,62000,62000.00,62167.35,840.11,61327.24,63007.47
32,64000,64000.00,64247.07,793.22,63453.85,65040.29
33,66000,66000.00,66247.35,763.10,65484.25,67010.45
34,68000,68000.00,68216.49,772.84,67443.65,68989.33
35,70000,70000.00,70322.07,726.49,69595.58,71048.56
36,72000,72000.00,72348.24,810.50,71537.74,73158.74
37,74000,74000.00,74235.68,904.54,73331.14,75140.22
38,76000,76000.00,76261.25,918.03,75343.23,77179.28
39,78000,78000.00,78314.45,1081.33,77233.12,79395.78
40,80000,80000.00,80283.65,1116.14,79167.50,81399.79
41,82000,82000.00,82268.77,1202.09,81066.67,83470.86
42,84000,84000.00,84342.13,1472.01,82870.11,85814.14
43,86000,86000.00,86289.94,1440.30,84849.65,87730.24
44,88000,88000.00,88314.99,1448.92,86866.07,89763.91
45,90000,90000.00,90302.81,1399.72,88903.08,91702.53
46,92000,92000.00,92368.44,1564.21,90804.24,93932.65
47,94000,94000.00,94260.76,1620.67,92640.09,95881.44
48,96000,96000.00,96241.15,1565.02,94676.12,97806.17
49,98000,98000.00,98372.16,1473.82,96898.34,99845.98
50,100000,100000.00,100401.51,1383.92,99017.59,101785.43
