dataset,size,algorithm,avg_time_us,char_comparisons
random,100,standard_quicksort,471.682,15952
random,100,standard_mergesort,145.469,623
random,100,ternary_string_quicksort,62.983,617
random,100,string_mergesort_lcp,188.011,623
random,100,msd_radix_sort,104.752,0
random,100,msd_radix_sort_hybrid,35.561,61
random,500,standard_quicksort,2450.377,75061
random,500,standard_mergesort,988.651,4863
random,500,ternary_string_quicksort,429.101,4148
random,500,string_mergesort_lcp,1210.584,4863
random,500,msd_radix_sort,392.495,0
random,500,msd_radix_sort_hybrid,237.402,979
random,1000,standard_quicksort,4840.901,147522
random,1000,standard_mergesort,2128.500,11611
random,1000,ternary_string_quicksort,966.639,9250
random,1000,string_mergesort_lcp,2691.697,11611
random,1000,msd_radix_sort,733.120,0
random,1000,msd_radix_sort_hybrid,581.764,2918
random,2000,standard_quicksort,10624.867,308774
random,2000,standard_mergesort,5033.774,27194
random,2000,ternary_string_quicksort,2372.651,22646
random,2000,string_mergesort_lcp,5982.529,27194
random,2000,msd_radix_sort,1597.206,0
random,2000,msd_radix_sort_hybrid,1371.728,8034
random,3000,standard_quicksort,16445.832,471192
random,3000,standard_mergesort,7772.842,44615
random,3000,ternary_string_quicksort,3728.448,36878
random,3000,string_mergesort_lcp,9806.535,44615
random,3000,msd_radix_sort,2841.349,0
random,3000,msd_radix_sort_hybrid,2377.221,13799
sorted,100,standard_quicksort,435.787,13758
sorted,100,standard_mergesort,153.566,687
sorted,100,ternary_string_quicksort,83.993,816
sorted,100,string_mergesort_lcp,206.885,687
sorted,100,msd_radix_sort,122.899,0
sorted,100,msd_radix_sort_hybrid,106.787,692
sorted,500,standard_quicksort,1932.449,60170
sorted,500,standard_mergesort,878.957,3844
sorted,500,ternary_string_quicksort,594.281,5863
sorted,500,string_mergesort_lcp,1133.771,3844
sorted,500,msd_radix_sort,474.360,0
sorted,500,msd_radix_sort_hybrid,465.743,3491
sorted,1000,standard_quicksort,3454.184,118768
sorted,1000,standard_mergesort,1841.184,8203
sorted,1000,ternary_string_quicksort,1772.051,18408
sorted,1000,string_mergesort_lcp,2576.630,8203
sorted,1000,msd_radix_sort,1015.439,0
sorted,1000,msd_radix_sort_hybrid,982.438,7043
sorted,2000,standard_quicksort,7155.389,236554
sorted,2000,standard_mergesort,3963.762,17433
sorted,2000,ternary_string_quicksort,6125.366,62930
sorted,2000,string_mergesort_lcp,5710.452,17433
sorted,2000,msd_radix_sort,2027.460,0
sorted,2000,msd_radix_sort_hybrid,2097.144,13965
sorted,3000,standard_quicksort,14267.580,452025
sorted,3000,standard_mergesort,6337.109,28216
sorted,3000,ternary_string_quicksort,11344.500,120466
sorted,3000,string_mergesort_lcp,7818.636,28216
sorted,3000,msd_radix_sort,2682.606,0
sorted,3000,msd_radix_sort_hybrid,2783.744,20674
reverse_sorted,100,standard_quicksort,372.387,13134
reverse_sorted,100,standard_mergesort,131.061,588
reverse_sorted,100,ternary_string_quicksort,96.718,1017
